iter	Passed	Remaining
0	0	97
1	1	93
2	2	87
3	3	84
4	4	82
5	5	81
6	6	81
7	6	80
8	7	78
9	8	77
10	9	76
11	10	75
12	11	75
13	12	73
14	12	73
15	13	72
16	14	71
17	15	69
18	16	68
19	17	68
20	17	67
21	18	66
22	19	65
23	20	64
24	21	63
25	22	63
26	22	61
27	23	61
28	24	61
29	26	61
30	27	60
31	27	59
32	28	58
33	29	57
34	30	56
35	30	55
36	31	54
37	32	53
38	33	52
39	34	51
40	34	50
41	35	49
42	36	48
43	37	47
44	37	46
45	38	45
46	39	44
47	40	43
48	41	42
49	41	41
50	42	41
51	43	40
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	48	35
58	49	34
59	50	33
60	50	32
61	51	31
62	52	30
63	53	29
64	54	29
65	54	28
66	55	27
67	56	26
68	57	25
69	58	25
70	59	24
71	59	23
72	60	22
73	61	21
74	62	20
75	63	19
76	63	19
77	64	18
78	64	17
79	65	16
80	66	15
81	67	14
82	68	13
83	69	13
84	69	12
85	70	11
86	71	10
87	72	9
88	73	9
89	73	8
90	74	7
91	75	6
92	76	5
93	77	4
94	78	4
95	78	3
96	79	2
97	80	1
98	81	0
99	82	0
