iter	Passed	Remaining
0	154	154787
1	158	79169
2	160	53361
3	161	40312
4	163	32494
5	164	27265
6	165	23493
7	166	20676
8	167	18467
9	168	16697
10	169	15261
11	170	14058
12	171	13014
13	172	12133
14	172	11357
15	173	10678
16	174	10084
17	175	9551
18	175	9074
19	176	8652
20	177	8267
21	178	7915
22	178	7598
23	179	7305
24	180	7034
25	181	6783
26	181	6549
27	182	6331
28	183	6131
29	183	5942
30	185	5789
31	186	5632
32	187	5479
33	187	5334
34	188	5198
35	189	5067
36	189	4944
37	190	4828
38	191	4718
39	192	4612
40	192	4511
41	193	4417
42	194	4328
43	195	4242
44	195	4157
45	196	4079
46	197	4002
47	198	3933
48	199	3870
49	200	3805
50	201	3741
51	201	3678
52	202	3619
53	203	3561
54	204	3506
55	204	3452
56	205	3399
57	206	3348
58	206	3299
59	207	3251
60	208	3207
61	209	3164
62	209	3121
63	210	3079
64	211	3040
65	212	3002
66	212	2965
67	213	2930
68	214	2897
69	215	2862
70	216	2828
71	216	2796
72	217	2764
73	218	2733
74	219	2702
75	219	2674
76	220	2645
77	221	2617
78	222	2590
79	222	2563
80	223	2537
81	224	2512
82	224	2483
83	225	2459
84	226	2437
85	227	2414
86	227	2391
87	229	2373
88	230	2354
89	230	2333
90	231	2313
91	232	2293
92	233	2273
93	233	2253
94	234	2234
95	235	2215
96	235	2196
97	236	2177
98	237	2159
99	238	2142
100	238	2125
101	239	2108
102	240	2092
103	241	2076
104	241	2060
105	242	2045
106	243	2030
107	244	2017
108	245	2004
109	245	1990
110	246	1975
111	247	1962
112	248	1948
113	249	1935
114	249	1921
115	250	1909
116	251	1895
117	251	1883
118	252	1870
119	253	1858
120	254	1845
121	254	1833
122	255	1821
123	256	1809
124	256	1798
125	257	1787
126	258	1775
127	259	1766
128	260	1756
129	261	1746
130	261	1735
131	262	1725
132	263	1715
133	263	1705
134	264	1695
135	265	1685
136	266	1675
137	266	1666
138	267	1657
139	268	1647
140	269	1639
141	269	1628
142	270	1620
143	271	1611
144	271	1603
145	272	1594
146	273	1586
147	274	1578
148	275	1571
149	275	1563
150	276	1555
151	277	1547
152	278	1539
153	278	1531
154	279	1522
155	280	1515
156	280	1507
157	281	1500
158	282	1493
159	283	1486
160	283	1477
161	284	1470
162	284	1463
163	285	1455
164	286	1449
165	287	1442
166	287	1435
167	288	1429
168	289	1423
169	290	1417
170	291	1411
171	291	1405
172	292	1398
173	293	1393
174	294	1386
175	294	1380
176	295	1374
177	296	1368
178	297	1362
179	297	1356
180	298	1350
181	299	1345
182	300	1339
183	300	1334
184	301	1328
185	302	1322
186	302	1317
187	303	1312
